,experiment,exp_type,deep,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,n_epoch,time
0,0,ohe,TRUE,0.167508835,,,,21,32.09082675
1,0,ignore,TRUE,0.158105564,,,,34,26.83435202
2,0,embed,TRUE,0.179252866,,,,15,14.34984112
3,1,ohe,TRUE,0.163884066,,,,15,21.93993831
4,1,ignore,TRUE,0.159195133,,,,38,30.32214499
5,1,embed,TRUE,0.167293594,,,,17,16.0465591
6,2,ohe,TRUE,0.171168504,,,,20,31.09005499
7,2,ignore,TRUE,0.156855951,,,,29,22.97824764
8,2,embed,TRUE,0.172817374,,,,20,18.54689455
9,3,ohe,TRUE,0.156440331,,,,12,21.61708713
10,3,ignore,TRUE,0.158667318,,,,25,21.08490467
11,3,embed,TRUE,0.162120754,,,,24,23.70875645
12,4,ohe,TRUE,0.165769086,,,,15,24.88512564
13,4,ignore,TRUE,0.152652438,,,,34,26.70631623
14,4,embed,TRUE,0.168347552,,,,13,12.65805674
0,0,lmm,TRUE,0.155058065,0.140948519,0.011138452,0.422954053,13,43.27886295
1,1,lmm,TRUE,0.152980412,0.13704282,0.007865095,0.035794925,13,41.93915129
2,2,lmm,TRUE,0.155423594,0.126317725,0.004529511,0.060652778,13,41.63093925
3,3,lmm,TRUE,0.147534096,0.137565494,0.009257891,0.009652471,14,42.71353984
4,4,lmm,TRUE,0.150394733,0.138609812,0.012281733,0.695901573,12,40.99902964
