,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b0_est_spatial,sigma_b1_est_spatial,n_epoch,time
1,0,ignore,0.149300959,,,,,28,53.52441096
2,0,embed,0.09282651,,,,,33,92.97861743
3,1,ignore,0.157093795,,,,,19,36.81870747
4,1,embed,0.092047993,,,,,43,120.9736991
5,2,ignore,0.154087273,,,,,22,42.50572991
6,2,embed,0.094681387,,,,,36,102.0447781
7,3,ignore,0.148854688,,,,,31,59.58214974
8,3,embed,0.085595891,,,,,35,100.254221
9,4,ignore,0.15707512,,,,,28,54.46705461
10,4,embed,0.093473531,,,,,41,116.5639789
11,0,lmm,0.083301098,0.02545623,0.05538224,0.09589689,1.00E-18,86,467.8777015
12,1,lmm,0.084028009,0.024840554,0.05218025,0.102385685,1.00E-18,83,435.1759772
13,2,lmm,0.085537156,0.027351255,0.05552934,0.09729213,1.00E-18,52,324.8245161
14,3,lmm,0.082566594,0.027999759,0.055688955,0.1093274,1.00E-18,53,329.8740506
15,4,lmm,0.08609915,0.024625909,0.05197376,0.09094242,1.00E-18,70,384.6098435
