fold,nose,exp_type,mse,mae,sigma_e_est,sigma_b_est,n_epochs,time
1,x,lmm,1.702189547,0.893407865,1.991106596,0.190769423,19,13128.01808
1,x,embed,3.164368269,1.376065654,,,45,29444.10911
2,x,embed,2.981570944,1.349111167,,,46,30497.15699
3,x,embed,3.714293441,1.463983591,,,38,25020.57791
4,x,embed,3.409362035,1.460428659,,,35,23108.60942
5,x,embed,4.945433522,2.017601449,,,32,21056.29425
2,x,lmm,1.678126806,0.874614804,1.984800243,0.222595245,28,18744.01328
3,x,lmm,1.393266437,0.832218476,1.927477479,0.11761041,39,25163.9311
4,x,lmm,1.339257092,0.812983652,1.910238658,0.130931745,40,25601.19004
5,x,lmm,1.601086498,0.862983563,1.950826499,0.158731547,31,20469.10313
1,x,menet,8.124134136,1.966841719,,,21,33998.97686
2,x,menet,8.349216572,1.94137834,,,19,30499.237
3,x,menet,7.372022066,1.903938503,,,23,37257.16063
4,x,menet,7.752600304,1.952003812,,,19,30755.90819
5,x,menet,6.612201901,1.822335704,,,25,40422.475
1,x,ignore,1.774256989,0.901949392,,,30,18488.72798
2,x,ignore,1.660170579,0.894483464,,,35,21141.52776
3,x,ignore,1.541972845,0.852288362,,,35,21181.93879
4,x,ignore,1.799283644,0.910099286,,,32,19430.16784
5,x,ignore,1.619287387,0.881098534,,,33,20136.54471
1,y,ignore,1.548080155,0.865289481,,,31,22209.8646
1,y,lmm,1.29346875,0.805339575,1.737110615,0.245097443,21,15969.02016
2,y,lmm,1.305720346,0.802934512,1.722938756,0.233984658,25,19147.95875
1,y,embed,1.9510662,1.036450277,,,30,21302.92587
2,y,embed,2.682485036,1.229836293,,,28,20046.9404
3,y,embed,1.989946159,1.038976797,,,25,17909.98864
4,y,embed,2.939834938,1.300826506,,,35,24867.3095
5,y,embed,2.794052208,1.252983629,,,19,13531.56971
1,y,menet,9.14181888,2.552495382,,,16,27369.95728
2,y,menet,14.0871017,4.60747967,,,17,29067.00188
3,y,menet,10.37512124,2.751200785,,,20,34478.4692
4,y,menet,15.23696513,4.717612286,,,19,32273.84498
5,y,menet,12.96360547,4.128629182,,,15,25725.44601
2,y,ignore,1.419660921,0.845210634,,,23,17009.6451
3,y,lmm,1.378091386,0.823716547,1.72936058,0.23615247,24,16178.35585
3,y,ignore,1.790527304,0.884900993,,,32,21421.2321
4,y,lmm,1.509837056,0.843084955,1.771705747,0.264755786,28,19818.17144
4,y,ignore,1.907452202,0.959894137,,,23,16244.85007
5,y,lmm,1.475395419,0.832589963,1.70454061,0.217193574,17,13436.98135
5,y,ignore,1.555728795,0.84234807,,,25,18356.7178
