id,experiment,exp_type,deep,mse,sigma_e_est,sigma_b_est,n_epochs,time
3,0,embed,TRUE,2.735665321,,,57,3127.195662
7,1,embed,TRUE,2.907607794,,,22,1224.275637
11,2,embed,TRUE,2.597890377,,,41,2342.189185
15,3,embed,TRUE,2.679252625,,,38,2048.510802
19,4,embed,TRUE,2.712662928,,,41,2288.586978
2,0,ignore,TRUE,2.779225588,,,37,2006.600494
6,1,ignore,TRUE,2.745294571,,,50,2717.33232
10,2,ignore,TRUE,2.625448465,,,32,1772.447791
14,3,ignore,TRUE,2.815018892,,,26,1476.353819
18,4,ignore,TRUE,2.741202207,,,21,1140.096122
1,0,lmm,TRUE,2.680336918,0.09291824,0.007628365,64,3496.125468
5,1,lmm,TRUE,2.674060429,0.108523577,0.024346082,67,3767.425103
9,2,lmm,TRUE,2.646432911,0.091408134,0.007817369,65,3589.647834
13,3,lmm,TRUE,2.656110891,0.106241807,0.011266488,68,3759.360151
17,4,lmm,TRUE,2.657541295,0.105837167,0.010395827,74,4163.338243
20,0,menet,TRUE,2.828635931,0.117094393,,,
21,1,menet,TRUE,2.723388672,0.116466951,,,
22,2,menet,TRUE,2.830148697,0.130095469,,,
23,3,menet,TRUE,2.748142481,0.139906693,,,
24,4,menet,TRUE,2.895089149,0.134402347,,,
0,0,ohe,TRUE,2.761191368,,,48,2664.959499
4,1,ohe,TRUE,2.775354147,,,26,1384.326972
8,2,ohe,TRUE,2.753926754,,,39,2120.252869
12,3,ohe,TRUE,2.779260874,,,40,2181.468108
16,4,ohe,TRUE,2.776443786,,,37,2030.858359
