,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,n_epoch,time
0,0,ignore,1.763006568,,,,,32,17.68725491
1,0,embed,1.513797402,,,,,69,64.69415736
2,1,ignore,1.752647996,,,,,41,22.18530297
3,1,embed,1.479848146,,,,,27,25.99711585
4,2,ignore,1.768621802,,,,,45,24.27521372
5,2,embed,1.490616202,,,,,101,93.32286978
6,3,ignore,1.796871662,,,,,31,16.76171112
7,3,embed,1.514505029,,,,,33,31.1544745
8,4,ignore,1.76245594,,,,,38,20.23088431
9,4,embed,1.498174191,,,,,43,40.15344286
10,0,lme4,1.456239504,1.381613422,0.105481379,0.263416095,0.006642269,0,13.45975614
11,1,lme4,1.467381548,1.378395603,0.105893772,0.262613748,0.006612637,0,12.75668907
12,2,lme4,1.454773406,1.381028738,0.107431169,0.259181061,0.006601103,0,13.52113891
13,3,lme4,1.439497007,1.385811479,0.106799156,0.258847401,0.007224604,0,12.71398711
14,4,lme4,1.416767834,1.39016107,0.108021357,0.260682771,0.006162728,0,17.05540299
15,0,lmm,1.459894934,1.373995,0.10552297,0.31959632,0.025822,22,88.00036788
16,1,lmm,1.435706713,1.3230805,0.097152755,0.36806107,0.01951,24,92.19117808
17,2,lmm,1.447283756,1.3437783,0.09650278,0.3521645,0.013677,23,106.9863422
18,3,lmm,1.459745285,1.3692069,0.09694474,0.31454593,"0.018660	",23,87.13615108
19,4,lmm,1.440605438,1.3752705,0.102775276,0.31732923,0.02172,24,88.1121347
20,0,ohe,1.495601892,,,,,38,33.98916864
21,1,ohe,1.46523869,,,,,41,30.75316811
22,2,ohe,1.479261637,,,,,45,33.39044642
23,3,ohe,1.486649036,,,,,39,29.3149333
24,4,ohe,1.476954937,,,,,39,29.28461671
