,experiment,exp_type,mse,sigma_e_est,sigma_b_est,n_epoch,time
1,0,ignore,0.091166561,,,28,511.7217238
2,0,embed,0.004849245,,,206,4709.882692
3,1,ignore,0.144131334,,,20,388.9843051
4,1,embed,0.004983323,,,58,1335.590653
5,2,ignore,0.077302567,,,83,1469.048111
6,2,embed,0.003153719,,,167,3932.903083
7,3,ignore,0.053946888,,,61,1112.731806
8,3,embed,0.003015487,,,105,2480.988207
9,4,ignore,0.064425604,,,73,1316.558628
10,4,embed,0.004239477,,,139,3332.904808
11,0,lmm,0.003975357,1.00E-15,0.23680972,22,799.6825719
12,1,lmm,0.003853181,1.00E-15,0.24520324,23,900.9146714
13,2,lmm,0.003292449,1.00E-15,0.17913054,22,803.6607101
14,3,lmm,0.002915585,1.00E-15,0.24308114,30,1080.30897
15,4,lmm,0.003153102,1.00E-15,0.20605661,23,853.907712
16,0,lme4,0.004725831,1.40E-04,0.558837692,0,19.36384296
17,1,lme4,0.004494202,1.40E-04,0.558918663,0,19.76781988
18,2,lme4,0.005276219,1.41E-04,0.558849672,0,19.2683239
19,3,lme4,0.005169221,1.41E-04,0.558725923,0,18.75316906
20,4,lme4,0.004799257,1.41E-04,0.558871522,0,19.22559094
