,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,sigma_b3_est,n_epoch,time
0,0,ignore,0.013344023,,,,,,32,15.41753101
1,0,embed,0.016201275,,,,,,14,13.74451184
2,1,ignore,0.020812829,,,,,,19,9.365949154
3,1,embed,0.017142385,,,,,,13,12.69914985
4,2,ignore,0.012598401,,,,,,44,20.98018432
5,2,embed,0.018010294,,,,,,12,11.92862248
6,3,ignore,0.012956089,,,,,,59,27.5166831
7,3,embed,0.015008421,,,,,,13,13.02853942
8,4,ignore,0.012907151,,,,,,41,20.32092023
9,4,embed,0.015561417,,,,,,12,12.00582576
10,0,lmm,0.009568178,0.005804989,0.003544811,0.000186711,0.010960573,0.00307384,21,35.22170234
11,1,lmm,0.009244603,0.00620293,0.002923603,0.000922816,0.010955163,0.006970798,29,44.97577262
12,2,lmm,0.009191825,0.00646046,0.002819458,0.000311875,0.000973428,0.003094651,46,63.51183534
13,3,lmm,0.009232575,0.006930817,0.003667115,0.00058577,0.002076611,0.002740008,65,88.0268662
14,4,lmm,0.009063727,0.006612822,0.002856535,0.000515904,0.006226393,0.003559124,36,53.56713057
15,0,lme4,0.010416311,0.008609192,6.31E-04,0.002182506,0.001448405,0.002664399,0,5.665292025
16,1,lme4,0.010889842,0.008469341,7.23E-04,0.002094477,0.001461903,0.002592835,0,4.906065941
17,2,lme4,0.010469835,0.008632937,6.15E-04,0.002144252,0.001501175,0.002534121,0,5.331000805
18,3,lme4,0.010982535,0.008433079,6.61E-04,0.002188482,0.001511102,0.00245898,0,4.912100792
19,4,lme4,0.010885812,0.008420152,6.74E-04,0.002224579,0.001476033,0.002576709,0,5.910832882
