,experiment,exp_type,mse,sigma_e_est,sigma_b0_est,sigma_b1_est,sigma_b2_est,sigma_b3_est,sigma_b4_est,n_epoch,time
0,0,ohe,1.017127897,,,,,,,11,23.40427828
1,0,ignore,0.885619049,,,,,,,26,30.85213757
2,0,embed,1.082340396,,,,,,,12,31.98853779
3,1,ohe,0.989654499,,,,,,,11,23.43531704
4,1,ignore,0.858029413,,,,,,,21,25.27640533
5,1,embed,0.962298973,,,,,,,12,32.37846565
6,2,ohe,1.043836024,,,,,,,11,23.63357544
7,2,ignore,0.880482122,,,,,,,37,43.35725474
8,2,embed,1.051922248,,,,,,,12,31.96573377
9,3,ohe,0.975534216,,,,,,,12,25.10996389
10,3,ignore,0.869505864,,,,,,,24,28.24851012
11,3,embed,1.023991031,,,,,,,12,31.83139038
12,4,ohe,1.026590116,,,,,,,11,23.46899319
13,4,ignore,0.889735945,,,,,,,31,36.43107009
14,4,embed,1.076714593,,,,,,,12,32.23820353
15,0,lmm,0.867187617,0.8148426,0.011474716,0.001772833,0.000376362,0.000116049,0.00011665,54,180.1969695
16,1,lmm,0.833430481,0.82003194,0.010787142,0.006983436,1.00E-05,1.00E-05,3.14E-05,37,129.0580182
17,2,lmm,0.87255215,0.8257423,0.009859275,0.007281285,7.87E-05,1.00E-05,1.00E-05,23,87.14173913
18,3,lmm,0.842609455,0.8140398,0.010571906,1.00E-05,1.00E-05,1.00E-05,1.00E-05,22,83.11055183
19,4,lmm,0.887623443,0.8243638,0.01203689,0.0027384,0.004687374,1.00E-05,2.26E-05,36,126.1635895
20,0,lme4,0.878651671,0.866247668,9.56E-04,4.70E-04,0.00994318,0.007386192,0.001921665,0,35.50198984
21,1,lme4,0.879817691,0.865523558,5.33E-04,0.001167617,0.011197266,0.004951873,0.002846367,0,32.41626
22,2,lme4,0.889320868,0.870549989,7.52E-05,2.03E-04,0.007837573,0.007182877,0.002228078,0,42.16845989
23,3,lme4,0.856946869,0.864728248,0.002894097,5.57E-04,0.008049467,0.002769266,0.004159775,0,31.37232804
24,4,lme4,0.899243959,0.867825003,0.00197237,7.51E-04,0.007746117,0.003009154,0.003887124,0,32.51499295
